filename start freq energy ac1 voiced
cherokee.aif 772.04519755021602 157.38546752929688 0.15058599412441254 0.021213596686720848 0.84819036722183228
cherokee.aif 778.39902411264484 155.12623596191406 0.14127032458782196 0.018725553527474403 0.79125297069549561
cherokee.aif 784.84538663989895 152.40730285644531 0.13130998611450195 0.016303746029734612 0.73358654975891113
cherokee.aif 791.40675181439201 148.86521911621094 0.11897726356983185 0.013313748873770237 0.69875073432922363
cherokee.aif 798.12423748508616 145.13882446289062 0.10904412716627121 0.011194012127816677 0.69768756628036499
cherokee.aif 805.01419272157034 141.81771850585938 0.10508595407009125 0.010428969748318195 0.70672762393951416
cherokee.aif 812.06549808067757 138.61915588378906 0.10276427865028381 0.010059734806418419 0.65167540311813354
cherokee.aif 819.2795085290112 128.54049682617188 0.10089428722858429 0.0097412662580609322 0.64588689804077148
cherokee.aif 827.05915838591363 126.65554046630859 0.099422268569469452 0.0096507994458079338 0.76104027032852173
cherokee.aif 834.95458890951772 125.17086791992188 0.1076369509100914 0.01127865444868803 0.85101038217544556
cherokee.aif 842.94366815619458 123.61817932128906 0.10791560262441635 0.011330416426062584 0.87132185697555542
cherokee.aif 851.0330932045498 122.27945709228516 0.10995016247034073 0.011764287017285824 0.86720967292785645
cherokee.aif 859.21108175379698 121.76137542724609 0.11527802050113678 0.01290427427738905 0.87213051319122314
cherokee.aif 867.42386685073188 121.69597625732422 0.12370957434177399 0.014883890748023987 0.89177513122558594
cherokee.aif 875.64106542881063 121.73037719726562 0.13394014537334442 0.01749061606824398 0.893726646900177
cherokee.aif 883.85594173208551 121.21724700927734 0.14160013198852539 0.019556840881705284 0.88956654071807861
cherokee.aif 892.10559262886045 122.52692413330078 0.14158886671066284 0.019618833437561989 0.82736212015151978
cherokee.aif 900.267064124115 124.37622833251953 0.14093846082687378 0.019479287788271904 0.81595331430435181
cherokee.aif 908.3071859693714 125.57846832275391 0.14574548602104187 0.020825488492846489 0.86246275901794434
cherokee.aif 916.27033429665539 126.41738891601562 0.15003614127635956 0.021999988704919815 0.90721291303634644
cherokee.aif 924.18063846604662 127.21746063232422 0.1492772102355957 0.021675240248441696 0.93286168575286865
cherokee.aif 932.04119447942742 127.35031890869141 0.14827591180801392 0.021387193351984024 0.92327845096588135
cherokee.aif 939.89354993441884 127.18505096435547 0.14290186762809753 0.01979333907365799 0.90403246879577637
cherokee.aif 947.75610909249883 127.65045166015625 0.1366163045167923 0.017996426671743393 0.79293209314346313
cherokee.aif 955.59000208667646 127.02798461914062 0.12471518665552139 0.015032824128866196 0.724892258644104
cherokee.aif 963.46228311230414 125.78839874267578 0.11924940347671509 0.013667317107319832 0.71997654438018799
cherokee.aif 971.4121417491599 124.90032196044922 0.11075634509325027 0.011762476526200771 0.86454755067825317
cherokee.aif 979.41852616272638 125.25473022460938 0.1134198009967804 0.012400452978909016 0.89019572734832764
cherokee.aif 987.40225636651644 125.72465515136719 0.11741464585065842 0.013333685696125031 0.88133478164672852
cherokee.aif 995.35614578294417 125.62294769287109 0.11824460327625275 0.013429746963083744 0.8488885760307312
cherokee.aif 1003.3164747185285 126.21806335449219 0.11172860115766525 0.011924967169761658 0.82603651285171509
cherokee.aif 1011.2392709420704 126.02446746826172 0.097522251307964325 0.0091434689238667488 0.70034629106521606
cherokee.aif 1019.1742378460737 125.14678955078125 0.077432528138160706 0.0058061247691512108 0.60343968868255615
cherokee.aif 1027.1648542035193 115.50403594970703 0.051905494183301926 0.002616402693092823 0.58652609586715698
cherokee.aif 1035.8225602249809 116.9285888671875 0.029563851654529572 0.00086072739213705063 0.64944082498550415
cherokee.aif 1044.3747889084468 120.88547515869141 0.018840085715055466 0.00035055933403782547 0.56794905662536621
cherokee.aif 1052.6470813022613 120.88547515869141 0.010089665651321411 0.00010061942157335579 0.4213998019695282
cherokee.aif 1060.919373696076 120.88547515869141 0.0049438341520726681 2.2892621927894652e-05 0.20249737799167633
cherokee.aif 1069.1916660898905 120.88547515869141 0.0040535749867558479 1.3853808013664093e-05 0.41579866409301758
cherokee.aif 1077.4639584837053 165.97476196289062 0.005467201117426157 2.762326221272815e-05 0.47590389847755432
cherokee.aif 1083.4889708077408 161.11541748046875 0.0058533111587166786 3.1829498766455799e-05 0.55054318904876709
cherokee.aif 1089.6957012681285 160.62138366699219 0.0053326920606195927 2.6702000468503684e-05 0.54609233140945435
cherokee.aif 1095.9215223828212 160.62138366699219 0.0040633967146277428 1.5361343685071915e-05 0.44705188274383545
cherokee.aif 1102.1473434975139 160.62138366699219 0.0037388596683740616 1.3018514437135309e-05 0.30846321582794189
cherokee.aif 1108.3731646122067 160.62138366699219 0.0039265910163521767 1.4068751625018194e-05 0.034775238484144211
cherokee.aif 1114.5989857268994 160.62138366699219 0.026293635368347168 0.00030808339943177998 0.26897868514060974
cherokee.aif 1120.8248068415924 160.62138366699219 0.032254770398139954 0.00052820250857621431 0.27121034264564514
